Computer #,Laptop Brand,Laptop Model,Laptop Type,Price ($CAD),CPU Brand,CPU Model,CPU Cores,CPU Speed(GHz),RAM (GB),Storage (GB),GPU,USB ports,Operating System,"Display Size ("")",Resolution Width (pixels),Resolution Height (pixels),Weight (lbs),Touchscreen,Quality Rating (out of 10),Speed Rating,Memory Rating,Display Rating,Overall Rating,Hyperlink
28,Microsoft,Surface Laptop,Professional,1749.99,AMD Ryzen 7,Surface Edition ,8,2,8,512,AMD Radeon Vega 11,2,Windows 10 Home,15,2496,1664,3.39,FALSE,9,7,7,7.4,7.6,https://www.amazon.ca/Microsoft-Surface-Laptop-Touchscreen-Platinum/dp/B08YWZ5G7L/ref=sr_1_99?fst=as%3Aoff&m=A3DWYIK6Y9EEQB&qid=1651020896&refinements=p_6%3AA3DWYIK6Y9EEQB%2Cp_36%3A100000-200000&rnid=12035759011&s=electronics&sr=1-99&th=1
29,Asus,ROG Zephyrus,Gaming ,1999.99,AMD Ryzen 9,5900HS,8,3.1,16,1000,NVIDIA GeForce RTX 3060,4,Windows 10 Home,14,1920,1080,3.7,FALSE,8.2,7.9,8,6.6,7.7,https://www.bestbuy.ca/en-ca/product/asus-rog-zephyrus-g14-14-gaming-laptop-grey-amd-ryzen-9-5900hs-1tb-ssd-16gb-ram-rtx-3060-win-10/15264488 
30,Asus,ROG Strix ,Gaming ,1499.99,AMD Ryzen 9,5900HX,8,3.3,16,512,NVIDIA GeForce RTX 3050,4,Windows 10 Home,15.6,1920,1080,4.61,FALSE,8.1,8.2,8,7.1,7.9,https://www.bestbuy.ca/en-ca/product/asus-rog-strix-g15-15-6-gaming-laptop-amd-ryzen-9-5900hx-512gb-ssd-16gb-ram-rtx-3050-only-at-best-buy/15481571 
31,Dell,XPS,Professional,3299.99,Intel,i7-11800H,8,2.3,16,1000,Nvidia GeForce RTX 3050 Ti,3,Windows 10 Home 64-Bit,15.6,3456,2160,4.52,TRUE,8.3,8,8,9.8,8.5,https://www.bestbuy.ca/en-ca/product/dell-xps-15-6-touchscreen-laptop-white-intel-core-i7-11800h-1tb-ssd-16gb-ram-windows-10-english/15587757
32,Asus,ROG Strix Scar,Gaming,2799.99,Intel,9-12900H,14,2.5,16,1000,NVIDIA GeForce RTX 3070 Ti,4,Windows 11 Home,17.3,1920,1080,6.39,FALSE,8.8,9.8,9,8.6,9,https://www.bestbuy.ca/en-ca/product/asus-rog-strix-scar-17-3-gaming-laptop-intel-core-i9-12900h-1tb-ssd-16gb-ram-rtx-3070-ti-windows-11/15992594
33,Apple,Macbook Pro,Professional,3149.99,Apple,M1 Pro Chip,10,3.2,16,512,Integrated,4,Mac OS,16.2,3456,2234,4.63,FALSE,9.6,9.6,9,7,8.8,https://www.bestbuy.ca/en-ca/product/apple-macbook-pro-16-2021-space-grey-apple-m1-pro-chip-512gb-ssd-16gb-ram-english/15776880
34,Alienware,M15 R5,Gaming,2599.99,AMD Ryzen 7,5800H,8,3.2,16,512,NVIDIA GeForce RTX 3070,4,Windows 11 Home 64-bit,15.6,2560,1440,5.34,FALSE,7.6,8,8,8.4,8,https://www.bestbuy.ca/en-ca/product/alienware-m15-r5-15-6-gaming-laptop-black-amd-ryzen-7-5800h-512gb-ssd-16gb-ram-rtx-3070-win-11/15935867
35,Microsoft,Surface Laptop Studio,Professional,2649.99,Intel,i7-11370H,4,3,16,512,NVIDIA GeForce RTX 3050 Ti,4,Windows 11 Home,14.4,2400,1600,4,TRUE,9.4,7.3,10,9.3,9,https://www.bestbuy.ca/en-ca/product/microsoft-surface-laptop-studio-14-4-platinum-intel-core-i7-11370h-512gb-ssd-16gb-ram-windows-11-en/15740340 
36,MSI,GE76 Raider,Gaming,2899.99,Intel,i7-12700H,14,1.7,32,1000,NVIDIA GeForce RTX 3070 Ti,5,Windows 11 Home,17.3,1920,1080,6.39,FALSE,9.9,7.3,10,9.1,9.1,https://www.bestbuy.ca/en-ca/product/msi-ge76-raider-17-3-gaming-laptop-blue-intel-core-i7-12700h-1tb-ssd-32gb-ram-rtx-3070-ti-windows-11/15949730
37,HP,Omen,Gaming,2999.99,Intel,i9-11900H,8,2.5,32,1000,NVIDIA GeForce RTX 3080,8,Windows 10 Home,17.3,2560,1440,6.13,FALSE,7.8,8.9,9,7.2,8.2,https://www.bestbuy.ca/en-ca/product/hp-omen-17-3-gaming-laptop-shadow-black-intel-core-i9-11900h-1tb-ssd-32gb-ram-rtx-3080-windows-10/15657580?icmp=Recos_4across_cstmrs_ls_vwd&referrer=PDP_Reco
38,Lenovo,ThinkPad X1 Carbon Gen 9,Professional,2954,Intel,i5-1135G7,4,2.4,8,2000,Intel Iris Xe ,5,Windows 10 Pro 64,14,1920,1080,2.49,FALSE,9.3,5.6,7,8.3,7.6,https://www.bestbuy.ca/en-ca/product/lenovo-thinkpad-x1-carbon-gen-9-intel-core-i5-1135g7-8gb-ram-2tb-ssd-storage-win10-pro/15098124
39,Acer,Predator Helios 300,Gaming,2771.01,Intel,i7-9750H,6,2.6,16,256,NVIDIA GeForce GTX 1660Ti,6,Windows 10 Home,15.6,1920,1080,5.07,FALSE,9,8.5,8,8.9,8.6,https://www.amazon.ca/Acer-Predator-15-6inch-Display-i7-9750H/dp/B07QXLFLXT/ref=sr_1_8?keywords=Acer%2BFlagship%2BPredator%2BHelios%2B300&qid=1651004866&sr=8-8&th=1
40,Lenovo,Flex 5,Professional,2799,Intel,i7-8550U,4,1.8,16,1512,NVIDIA GeForce MX130,6,Windows 10 Pro,15.6,3840,2160,4.4,TRUE,8.1,4.5,8,10,7.7,https://www.amazon.ca/Lenovo-Touchscreen-i7-8550U-GeForce-Professional/dp/B07DBGHHTK/ref=sr_1_7 
